idx,cluster
1953,2
1954,1
1957,1
1958,1
1963,0
1964,0
1967,0
1968,1
1980,2
1981,2
1982,2
1984,2
1988,2
1991,1
1994,2
1995,1
1996,0
1998,2
2000,1
2004,0
2006,1
2011,1
2016,2
2018,0
2019,0
2020,1
2023,2
2025,1
2028,0
2031,2
2033,1
2034,0
2036,1
2037,0
2038,1
2042,2
2043,1
2044,2
2045,2
2051,2
2052,2
2053,0
2057,0
2058,2
2060,0
2061,1
2062,1
2067,1
2068,0
2070,1
2075,1
2076,1
2084,1
2085,1
2087,0
2088,2
2090,1
2093,2
2097,1
2100,2
2101,1
2102,2
2103,0
2104,2
2105,1
2109,0
2110,1
2119,0
2121,1
2122,2
2123,0
2124,2
2125,1
2127,0
2128,2
2130,2
2133,1
2135,0
2136,2
2137,2
2139,2
2141,0
2142,1
2143,2
2145,1
2148,1
2149,0
2152,1
2155,2
2160,2
2161,2
2162,1
2168,1
2169,2
2170,2
2173,2
2180,1
2181,2
2186,2
2187,0
2192,2
2193,2
2194,0
2197,0
2198,2
2200,0
2203,0
2206,2
2208,1
2209,0
2215,0
2216,2
2217,0
2219,0
2226,2
2228,1
2231,1
2232,0
2234,1
2235,2
2236,2
2237,0
2242,0
2244,1
2249,2
2250,1
2252,2
2253,1
2255,2
2259,1
2260,2
2261,2
2264,2
2265,2
2269,2
2270,2
2272,1
2275,2
2277,0
2280,1
2282,0
2283,0
2285,0
2286,2
2290,1
2297,2
2298,0
2301,1
2302,1
2304,0
2305,2
2309,2
2310,2
2311,2
2312,2
2316,1
2321,0
2327,0
2331,1
2332,2
2338,0
2339,1
2342,2
2343,2
2345,0
2348,2
2350,0
2352,0
2354,0
2360,1
2362,0
2364,2
2365,0
2366,1
2367,2
2368,0
2369,2
2370,1
2371,1
2376,0
2377,1
2380,0
2384,0
2386,2
2387,1
2388,1
2389,2
2398,1
2400,1
2401,1
2403,2
2407,1
2408,2
2409,2
2413,1
2415,0
2417,1
2419,0
2420,0
2421,0
2425,0
2426,2
2428,0
2430,0
2432,2
2433,0
2435,0
2436,2
2437,0
2438,2
2439,1
2440,1
2441,1
2444,2
2445,0
2448,0
2449,0
2450,2
2451,2
2454,1
2456,2
2462,0
2467,2
2470,1
2473,1
2475,1
2476,1
2480,2
2484,2
2485,0
2486,0
2488,2
2489,2
2490,1
2491,1
2493,1
2496,2
2499,0
2500,0
2503,2
2508,2
2510,2
2514,0
2516,0
2519,0
2520,0
2522,1
2523,2
2524,0
2525,0
2526,1
2527,0
2528,2
2529,2
2531,1
2536,1
2538,0
2540,2
2541,1
