from,to,n_approaches_present,mean_share,std_share
PRAD,PCPG,3,0.065,0.006480740698407858
DLBC,GBMLGG,3,0.06166666666666667,0.012256517540566825
LUAD,LIHC,3,0.06166666666666667,0.007039570693980956
CESC,HNSC,3,0.05833333333333333,0.005312459150169744
DLBC,LUAD,3,0.053,0.0
SKCM,BRCA,2,0.2155,0.1615
LUSC,BRCA,2,0.135,0.03899999999999999
HNSC,GBMLGG,2,0.1345,0.0715
TGCT,GBMLGG,2,0.097,0.008
PCPG,KIPAN,2,0.095,0.034
STES,GBMLGG,2,0.091,0.036000000000000004
DLBC,CESC,2,0.079,0.026
PRAD,LAML,2,0.0755,0.022500000000000003
PCPG,GBMLGG,2,0.0745,0.013499999999999998
LAML,GBMLGG,2,0.06999999999999999,0.019
SKCM,KIPAN,2,0.067,0.0049999999999999975
DLBC,COAD,2,0.066,0.013000000000000001
LIHC,SARC,2,0.0605,0.009500000000000005
SKCM,GBMLGG,2,0.06,0.009000000000000005
UCEC,OV,2,0.058499999999999996,0.0024999999999999988
STES,COAD,2,0.055,0.0
DLBC,LUSC,2,0.053,0.0
THYM,KIPAN,1,0.357,0.0
THYM,SKCM,1,0.306,0.0
COAD,KIPAN,1,0.296,0.0
SKCM,COAD,1,0.261,0.0
PRAD,KIRC,1,0.233,0.0
PCPG,KIRC,1,0.231,0.0
LUSC,KIPAN,1,0.197,0.0
TGCT,KIRC,1,0.194,0.0
LUSC,GBMLGG,1,0.191,0.0
SARC,LGG,1,0.177,0.0
SARC,KIRC,1,0.167,0.0
LUSC,OV,1,0.152,0.0
PAAD,KIRC,1,0.15,0.0
CESC,KIRC,1,0.148,0.0
BRCA,GBMLGG,1,0.14,0.0
LIHC,PRAD,1,0.139,0.0
UCEC,LGG,1,0.136,0.0
BLCA,GBMLGG,1,0.135,0.0
BLCA,LGG,1,0.135,0.0
COAD,LGG,1,0.135,0.0
LUAD,OV,1,0.13,0.0
LAML,KIPAN,1,0.127,0.0
CESC,PRAD,1,0.123,0.0
BRCA,KIRC,1,0.117,0.0
BLCA,OV,1,0.115,0.0
THYM,KIRC,1,0.112,0.0
HNSC,KIRC,1,0.108,0.0
STES,OV,1,0.106,0.0
LUAD,KIRC,1,0.103,0.0
LAML,KIRC,1,0.101,0.0
LIHC,KIRC,1,0.101,0.0
LUSC,LGG,1,0.101,0.0
TGCT,PRAD,1,0.097,0.0
BRCA,LAML,1,0.094,0.0
PRAD,LGG,1,0.094,0.0
THCA,KIPAN,1,0.086,0.0
ACC,STES,1,0.083,0.0
