,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BLCA,0,42,10,10,1,0,3,19,0,0,0,0,0,2,7,1,0,0,1,0,0,8,0,0,0,0
BRCA,1,3,518,14,2,0,9,12,21,1,16,1,7,2,3,60,6,12,45,12,0,16,0,18,0,7
CESC,0,7,42,47,0,0,9,9,4,0,4,0,0,6,1,0,1,2,5,7,0,6,1,1,1,2
COAD,0,0,8,1,159,0,7,3,2,0,0,0,0,0,1,4,8,0,1,0,1,21,0,1,0,6
DLBC,0,0,4,0,0,18,2,2,4,0,0,0,0,0,0,0,0,1,0,1,0,5,0,1,0,0
GBMLGG,0,0,37,1,0,0,263,3,10,0,6,86,2,0,0,6,6,3,5,9,0,13,0,4,0,7
HNSC,0,8,36,13,2,0,9,72,7,0,1,0,2,10,16,11,5,0,1,1,1,27,0,0,1,0
KIPAN,3,0,53,1,2,1,9,6,275,73,6,0,7,1,2,12,0,5,32,13,0,2,6,4,1,1
KIRC,1,0,37,0,0,0,5,1,171,59,4,0,2,1,0,9,0,2,26,9,0,2,3,0,1,1
LAML,0,0,28,0,0,0,9,0,0,2,87,2,0,0,0,6,0,6,8,1,0,0,1,5,3,0
LGG,0,0,10,1,0,0,114,1,0,0,5,89,0,0,0,3,0,0,1,3,0,1,0,1,0,0
LIHC,0,0,14,0,1,0,5,3,22,2,0,0,66,5,3,9,0,0,8,4,0,13,2,0,0,1
LUAD,0,1,20,5,0,0,12,9,10,1,0,0,5,68,28,3,1,0,4,1,1,13,1,1,0,0
LUSC,0,1,4,2,0,0,0,18,4,0,2,0,2,21,108,0,0,0,0,0,1,15,0,0,0,0
OV,0,0,84,0,0,0,6,5,12,1,1,0,3,1,5,103,7,1,7,7,1,6,1,0,0,2
PAAD,0,0,18,1,2,0,16,7,3,0,1,0,0,1,1,12,40,2,2,1,0,12,0,0,0,1
PCPG,0,0,36,1,0,0,2,0,5,3,9,0,0,0,0,0,0,45,22,4,0,0,0,18,2,0
PRAD,0,0,68,0,1,0,3,0,13,2,6,1,3,0,2,5,0,9,113,9,0,1,3,23,2,2
SARC,0,0,71,2,0,0,9,1,8,0,6,1,1,1,1,23,3,3,23,26,3,3,7,3,1,2
SKCM,1,1,10,3,1,0,4,0,7,0,1,0,1,2,0,1,0,1,3,2,232,1,0,5,0,0
STES,2,4,28,0,15,0,22,20,8,0,2,0,6,7,10,10,10,0,0,3,0,226,2,0,0,4
TGCT,0,0,8,0,0,0,5,0,13,1,0,0,1,1,0,1,0,0,3,2,0,1,87,1,0,0
THCA,0,0,25,1,1,0,3,0,0,1,26,0,1,0,0,1,0,20,32,2,1,0,1,202,6,1
THYM,0,0,23,0,0,0,2,0,1,0,36,0,0,0,0,0,0,3,19,1,1,1,0,11,0,0
UCEC,0,2,26,2,3,0,11,1,1,0,0,0,2,1,0,10,1,0,1,1,0,9,0,0,0,127
