,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,46,4,7,0,0,2,8,6,0,0,0,2,2,6,2,2,0,1,1,1,13,0,0,0,1
BRCA,1,3,487,10,1,0,17,8,18,2,13,1,11,2,4,56,2,7,60,22,0,28,4,14,4,11
CESC,0,7,36,34,1,0,9,5,14,1,5,0,6,2,5,0,0,3,3,4,1,11,2,1,1,4
COAD,0,0,13,0,158,0,3,1,2,0,0,0,2,1,0,6,5,0,1,1,2,23,0,0,0,5
DLBC,0,2,3,1,0,16,0,2,4,1,0,0,1,0,0,0,0,0,2,1,0,4,0,1,0,0
GBMLGG,0,0,36,1,1,0,250,2,9,1,6,88,3,1,0,10,1,1,8,9,3,14,7,6,0,4
HNSC,0,8,30,13,2,1,5,61,9,0,1,1,5,12,15,12,8,0,4,1,2,32,0,0,1,0
KIPAN,3,1,77,4,2,0,12,4,243,66,6,0,11,1,0,7,0,8,30,12,0,8,15,1,2,2
KIRC,0,0,46,2,0,0,8,0,159,61,4,0,4,0,0,4,0,6,23,6,0,5,3,0,0,3
LAML,0,0,19,0,0,0,5,0,0,2,91,2,0,0,0,7,0,3,10,1,0,0,0,13,5,0
LGG,0,0,11,0,0,0,115,0,0,0,6,86,0,0,0,2,0,1,1,3,0,2,0,1,1,0
LIHC,0,1,19,3,2,0,10,5,15,1,0,0,50,4,9,9,0,0,1,7,0,18,2,1,0,1
LUAD,0,2,15,6,2,1,9,7,9,0,0,0,13,62,17,2,1,0,3,4,4,25,0,1,0,1
LUSC,0,2,3,3,1,0,1,15,2,0,2,0,7,15,92,4,1,0,0,0,2,27,0,0,0,1
OV,0,0,91,0,0,0,8,6,10,0,1,1,8,2,2,88,7,2,5,5,0,12,2,1,0,2
PAAD,0,0,12,2,2,0,9,10,4,0,1,0,1,1,1,31,24,1,3,2,0,10,4,0,0,2
PCPG,0,0,33,0,0,0,2,0,1,2,7,0,0,0,0,0,1,39,30,7,0,1,0,15,9,0
PRAD,0,0,64,1,2,0,5,0,6,1,8,0,3,2,2,6,0,5,107,21,0,0,0,27,3,3
SARC,0,0,66,3,0,0,13,0,7,0,5,0,1,2,0,14,1,3,34,33,3,4,3,3,1,2
SKCM,1,0,8,0,1,0,6,0,6,0,1,0,1,3,1,1,1,2,2,3,230,2,2,5,0,0
STES,0,5,35,5,12,2,8,28,14,0,2,0,5,12,19,15,7,2,2,5,0,198,0,0,0,3
TGCT,0,0,11,0,0,0,4,0,22,1,0,0,3,1,0,1,1,0,2,3,0,2,71,2,0,0
THCA,0,0,36,0,1,0,3,0,0,0,22,0,0,0,0,1,0,8,42,0,2,0,0,205,4,0
THYM,0,0,13,1,0,0,2,1,0,0,35,0,0,1,0,1,0,3,18,0,0,1,0,14,8,0
UCEC,0,2,27,1,4,0,15,4,1,0,0,0,1,1,1,7,0,0,0,2,0,5,0,0,0,127
