,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,43,9,9,0,0,3,15,3,0,0,0,0,5,4,1,0,0,1,0,0,11,0,0,0,0
BRCA,1,2,521,10,2,0,11,11,17,1,11,1,3,5,2,55,4,10,52,18,0,18,1,18,6,6
CESC,0,9,38,50,1,0,8,3,7,1,5,0,0,3,3,0,2,2,5,3,0,9,0,1,1,4
COAD,0,0,12,1,160,0,6,1,1,0,0,0,1,1,0,4,6,0,0,1,1,22,0,0,0,6
DLBC,0,0,4,0,0,18,1,1,4,0,0,0,0,1,0,0,0,0,1,1,0,5,1,1,0,0
GBMLGG,0,0,32,1,0,0,246,1,10,0,5,97,1,1,1,7,2,3,8,13,0,16,2,6,0,9
HNSC,0,6,33,13,3,0,7,73,8,0,1,0,2,11,10,12,5,0,3,3,1,32,0,0,0,0
KIPAN,4,1,67,1,2,0,9,5,270,64,6,0,3,3,0,8,0,8,36,10,0,3,7,2,3,3
KIRC,0,0,42,0,0,1,3,0,171,57,4,0,1,3,0,5,0,6,29,4,0,1,2,1,1,3
LAML,0,0,21,0,0,0,4,0,0,1,92,3,0,0,0,4,0,8,12,1,0,0,0,8,4,0
LGG,0,0,7,0,0,0,113,0,0,0,5,91,0,0,0,4,0,1,3,3,0,1,0,1,0,0
LIHC,0,0,20,2,2,0,6,4,18,1,0,0,52,3,10,8,0,0,8,4,0,15,3,0,0,2
LUAD,0,2,23,7,0,1,9,8,9,0,0,0,4,63,23,1,2,0,2,4,3,21,0,1,0,1
LUSC,0,2,2,1,0,0,1,17,4,0,2,0,6,15,101,2,0,0,0,0,1,23,0,0,0,1
OV,0,0,80,0,1,0,0,7,11,1,1,0,4,1,3,114,3,1,5,4,0,10,2,3,1,1
PAAD,0,0,20,2,3,0,13,9,5,0,1,0,0,1,0,18,31,0,1,3,0,11,1,0,0,1
PCPG,0,0,37,0,0,0,0,0,3,2,8,0,0,0,0,1,0,45,24,6,1,0,0,15,5,0
PRAD,0,0,65,0,2,0,3,0,7,0,8,1,3,0,3,7,0,6,119,14,0,1,0,20,4,3
SARC,0,0,71,0,0,0,9,0,9,0,5,1,0,1,0,23,1,1,28,35,4,2,2,4,0,2
SKCM,0,0,10,3,1,0,2,0,7,0,1,0,2,2,0,2,0,3,2,1,233,1,1,5,0,0
STES,0,4,35,1,17,1,13,23,11,0,2,0,3,6,11,10,9,1,0,3,1,223,0,1,0,4
TGCT,1,0,8,0,0,0,5,0,29,1,0,0,1,1,0,1,1,1,1,3,0,0,69,2,0,0
THCA,0,0,29,0,1,0,3,0,0,0,24,0,0,0,0,1,0,12,42,0,1,0,0,207,4,0
THYM,0,0,17,0,0,0,1,0,1,0,37,0,0,0,0,1,0,5,10,1,0,1,0,18,6,0
UCEC,0,2,27,1,3,0,14,3,1,0,0,0,0,0,0,10,0,0,1,2,0,9,0,0,0,125
