,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,42,3,8,1,1,1,11,5,0,0,0,2,1,7,1,0,0,1,1,0,16,0,0,0,3
BRCA,1,1,493,11,2,0,14,13,25,4,7,1,8,3,4,59,3,7,48,17,0,24,3,18,9,11
CESC,0,4,38,37,0,0,11,5,17,2,2,0,3,2,5,0,0,3,3,5,1,6,2,1,4,4
COAD,0,0,13,0,159,0,2,2,5,0,0,0,3,2,0,4,5,0,0,2,2,17,0,0,0,7
DLBC,0,0,6,0,0,17,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
GBMLGG,0,0,41,1,1,0,238,4,12,2,4,94,3,1,1,14,1,1,6,7,2,12,5,5,2,4
HNSC,0,6,42,13,2,0,9,63,7,0,1,0,2,9,16,9,10,0,5,2,2,24,0,0,1,0
KIPAN,5,0,74,4,1,0,13,1,241,74,1,0,6,2,2,9,1,9,27,12,0,7,16,2,6,2
KIRC,0,1,48,1,1,0,7,0,149,69,1,0,2,1,0,4,0,8,22,7,0,2,5,1,2,3
LAML,0,0,15,0,0,0,5,0,0,1,83,2,0,0,0,8,0,5,8,0,0,0,0,11,20,0
LGG,0,0,11,0,0,0,118,1,0,0,3,85,0,0,0,3,0,0,2,2,0,0,0,1,3,0
LIHC,0,1,23,1,3,0,9,4,16,0,0,0,47,7,8,4,0,0,1,5,0,21,4,1,0,3
LUAD,0,2,13,7,2,1,14,10,10,0,0,0,7,59,17,4,1,0,3,3,3,27,0,1,0,0
LUSC,0,1,4,2,0,1,1,20,4,0,0,0,6,16,82,2,1,0,0,0,2,34,0,0,2,0
OV,0,0,70,1,2,0,9,7,13,0,1,0,4,0,0,108,6,1,7,6,0,11,4,0,0,3
PAAD,0,0,18,3,1,0,7,9,4,0,0,0,1,0,0,32,26,0,3,2,0,10,1,1,1,1
PCPG,0,0,38,0,0,0,4,0,3,2,4,0,0,0,0,0,0,36,29,5,0,0,0,15,11,0
PRAD,0,0,67,0,2,0,8,0,8,0,5,0,3,2,0,6,2,5,110,15,0,1,0,21,8,3
SARC,0,0,72,2,1,0,15,2,8,0,2,0,1,1,0,14,2,3,26,32,3,2,2,3,4,3
SKCM,1,0,8,0,1,0,5,1,8,0,1,0,1,1,1,0,0,2,2,2,230,5,2,5,0,0
STES,1,4,38,8,14,0,7,27,17,0,1,0,2,11,18,15,5,0,2,2,0,196,0,0,2,9
TGCT,0,0,15,1,0,0,3,0,21,2,0,0,2,1,0,0,1,0,2,2,0,1,70,3,0,0
THCA,0,0,35,0,1,0,1,0,0,0,3,0,0,0,0,1,0,11,37,1,3,0,0,211,20,0
THYM,0,0,23,1,0,0,2,0,0,0,4,0,0,0,0,1,0,3,13,1,0,1,0,11,38,0
UCEC,0,2,26,1,6,1,15,2,2,1,0,0,1,0,2,4,0,0,2,1,0,9,0,0,0,123
