,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,25,6,4,0,0,1,13,5,0,0,0,2,6,14,2,1,1,0,1,2,20,0,0,0,1
BRCA,1,2,473,8,4,1,15,11,27,5,13,1,2,6,4,63,11,12,48,20,0,27,1,12,9,10
CESC,0,4,32,19,4,0,12,7,19,0,0,0,2,4,9,3,0,2,8,7,1,10,1,2,4,5
COAD,0,1,14,2,157,0,1,2,4,0,0,0,4,1,0,5,3,0,1,2,2,17,1,0,0,6
DLBC,0,0,2,0,0,19,2,2,6,0,0,0,2,1,0,1,0,0,1,1,0,1,0,0,0,0
GBMLGG,0,0,27,5,0,0,294,2,14,2,1,43,1,2,1,10,2,2,7,6,3,12,9,6,2,10
HNSC,0,6,24,9,4,1,10,59,8,0,0,0,0,10,17,17,7,0,7,1,3,36,2,0,2,0
KIPAN,3,2,31,1,2,1,9,3,373,30,1,0,5,3,1,9,1,2,10,6,1,6,7,2,6,0
KIRC,0,0,13,1,0,0,6,0,55,239,2,0,0,0,0,2,0,1,5,3,0,2,2,1,1,1
LAML,0,0,19,0,0,0,4,0,0,0,81,1,0,0,0,8,0,7,12,0,0,0,0,14,12,0
LGG,0,0,5,1,0,0,54,0,1,0,2,157,0,0,0,1,0,1,1,1,0,0,0,1,3,1
LIHC,0,2,22,1,3,0,10,2,19,1,0,0,36,5,6,7,1,0,4,9,0,26,1,0,0,3
LUAD,0,2,16,6,1,1,12,9,7,0,0,0,8,50,17,5,2,0,2,7,5,32,0,2,0,0
LUSC,0,2,6,4,1,0,1,22,3,0,0,0,6,23,77,3,0,0,0,0,3,24,0,0,2,1
OV,0,0,80,1,6,0,10,4,8,3,3,1,3,3,3,92,9,2,7,8,0,5,2,2,0,1
PAAD,0,1,17,1,3,1,7,9,5,0,0,0,1,4,1,31,21,0,1,4,1,7,2,0,1,2
PCPG,0,0,29,0,0,0,5,0,3,5,4,0,0,0,0,0,1,46,29,3,0,0,0,14,8,0
PRAD,0,0,74,2,3,0,4,0,10,3,7,1,2,0,1,6,0,10,93,15,0,2,0,25,7,1
SARC,0,0,66,1,1,0,14,0,9,1,1,0,2,2,0,17,1,5,31,27,3,2,4,4,5,2
SKCM,0,0,7,0,1,0,5,1,10,0,1,0,1,3,1,0,0,1,4,2,230,3,2,4,0,0
STES,0,4,31,4,11,0,8,21,19,1,1,0,7,12,18,9,12,1,3,4,1,205,0,0,2,5
TGCT,0,0,9,1,1,0,6,0,28,0,0,0,1,1,0,2,0,1,2,4,0,0,66,1,1,0
THCA,0,0,31,0,1,0,1,0,1,0,5,0,0,1,0,1,0,12,34,4,4,0,0,206,23,0
THYM,0,0,17,0,0,0,2,0,2,0,4,0,0,0,0,0,0,3,13,1,0,1,1,21,32,1
UCEC,0,3,22,1,6,0,16,4,1,1,0,0,1,0,1,7,1,0,1,5,0,8,0,0,0,120
